folder,file,mode,w,h,opaque_frac,L_mean,L_std,S_mean,temp_RmB,pink_bias,edge_density,oxford_blue_070F34,zaffre_0313A6,dark_violet_9201CB,hollywood_cerise_F715AB,fluor_cyan_34EDF3,dom1,dom2,dom3
backgroundz,traits/backgroundz/Tampa_Bay_Pete.png,RGBA,1254,1254,1.0,87.68,59.18,0.2087,-10.83,2.54,13.53,0.3579,0.0,0.0,0.0,0.0,#161926,#40434C,#6C6E74
backgroundz,traits/backgroundz/Pink_Abyss.png,RGBA,1343,1343,1.0,97.48,32.41,0.33,30.6,26.8,3.49,0.0349,0.0,0.0,0.0,0.0,#855D68,#6C4651,#A97180
backgroundz,traits/backgroundz/Pixie_Stix.png,RGBA,1393,1393,1.0,88.37,46.65,0.437,-11.71,27.43,7.41,0.1898,0.0,0.0,0.0,0.0,#553E61,#2B1D36,#995A88
backgroundz,traits/backgroundz/Psychedelics.png,RGBA,1393,1393,1.0,91.24,58.06,0.2137,9.98,3.08,10.49,0.2669,0.0002,0.0,0.0,0.0,#433E3F,#786A63,#1B1B21
backgroundz,traits/backgroundz/RIP_Gorbagana.png,RGBA,1343,1343,1.0,113.37,44.95,0.3109,28.42,-15.86,20.33,0.0696,0.0,0.0,0.0,0.0,#8B8D6F,#5B5C52,#32391F
backgroundz,traits/backgroundz/Smuckers_Blue.png,RGBA,1393,1393,1.0,74.23,52.18,0.618,-67.53,13.64,7.75,0.36,0.0042,0.0,0.0,0.0,#111D55,#223D72,#496890
backgroundz,traits/backgroundz/Snack_Pack.png,RGBA,1343,1343,1.0,91.95,42.74,0.4365,46.56,2.18,18.16,0.1174,0.0,0.0,0.0,0.0,#917964,#755B44,#583A21
backgroundz,traits/backgroundz/Straight_of_America (1).png,RGBA,1343,1343,1.0,129.76,51.97,0.1765,-10.87,-1.45,24.14,0.0597,0.0,0.0,0.0,0.0,#5D6263,#868D91,#ADB7BE
backgroundz,traits/backgroundz/Sugar.png,RGBA,1393,1393,1.0,148.1,97.6,0.3139,-12.52,-0.89,4.67,0.3825,0.0,0.0,0.0,0.0,#F9F9F9,#162B40,#CBCCD1
backgroundz,traits/backgroundz/Sweet_Castle_2.png,RGBA,1393,1393,1.0,123.45,53.97,0.4096,-54.74,18.54,8.88,0.1005,0.0002,0.0,0.0,0.0,#737CB2,#A0A4D4,#43578A
