file,category,brightness,saturation,hero_pct,score,status
traits/backgroundz/multiple_faces_grid.png,backgroundz,25.89,18.78,0.12,100.0,PASS
traits/backgrounds/Legendary_Short_the_Banks.png,backgrounds,22.26,19.65,0.0,100.0,PASS
traits/backgrounds/Legendary_Emyr.png,backgrounds,26.85,28.93,0.5,100.0,PASS
traits/backgrounds/Legendary_Shubbi.png,backgrounds,29.68,29.68,0.22,100.0,PASS
traits/characterz/before_skinz_cyan_sherbert_ice_cream.png,characterz,72.22,89.38,65.84,100.0,PASS
traits/backgrounds/Legendary_Yatrah.png,backgrounds,20.74,19.67,0.0,100.0,PASS
traits/backgrounds/Legendary_Tenders.png,backgrounds,18.83,0.27,0.0,100.0,PASS
traits/backgrounds/Legendary_Fairdevs.png,backgrounds,21.85,29.87,3.42,100.0,PASS
traits/backgrounds/Legendary_Gorbhouse.png,backgrounds,26.99,34.27,0.0,100.0,PASS
traits/backgrounds/Legendary_Sarv.png,backgrounds,26.92,38.96,0.03,100.0,PASS
traits/backgrounds/Legendary_Cook_Oven.png,backgrounds,26.94,6.02,0.0,100.0,PASS
traits/backgrounds/Legendary_Morsel.png,backgrounds,23.38,34.5,0.22,100.0,PASS
traits/backgrounds/Legendary_Welder.png,backgrounds,24.63,17.26,1.77,100.0,PASS
traits/backgrounds/Legendary_Just_Aliens.png,backgrounds,23.94,0.53,0.0,100.0,PASS
traits/backgrounds_pop/Legendary_Just_Aliens.png,backgrounds_pop,19.63,33.25,0.07,100.0,PASS
traits/backgrounds_pop/Legendary_Cook_Oven.png,backgrounds_pop,21.8,32.97,0.04,100.0,PASS
traits/backgrounds_pop/Legendary_Gorbhouse.png,backgrounds_pop,15.27,27.09,0.3,100.0,PASS
traits/mouthz/file_00000000d23071f89b6008fadbcfd57d.png,mouthz,,,0.0,,FAIL
